"PSP.1stAco12","P2NP.1stAco12","PSP.2ndAco12","P2NP.2ndAco12","PSP.Lam11","P2NP.Lam11","PSP.Lav11","P2NP.Lav11","PSP.San10","P2NP.San10","PSP.San09","P2NP.San09","id"
NA,NA,NA,NA,"91.91","0.74",NA,NA,NA,NA,"90.25","0.00","G158"
"67.77","0.590","74.630","0.230","87.72","1.75",NA,NA,"86.21","2.76","68.26","1.02","G159"
" 0.33","0.000"," 0.000","0.000",NA,NA," 0.00","0.00","75.76","0.00","78.62","0.00","G16"
" 0.00","0.000"," 0.000","0.000",NA,NA," 0.00","0.00"," 0.00","0.00"," 0.00","0.00","G160"
"82.40","0.930","69.840","0.630","88.97","1.07","84.18","0.67","90.25","1.44","75.99","1.22","G161"
"67.96","0.950","38.560","0.750",NA,NA,"76.00","0.30",NA,NA,"77.88","0.93","G162"
"79.89","2.530","76.670","2.140",NA,NA,"75.53","0.60",NA,NA,"85.62","2.05","G163"
"68.65","0.000","60.000","0.000",NA,NA,"76.34","0.00","82.78","0.99","77.16","1.23","G164"
"73.13","2.330","61.350","0.200","82.24","2.96","84.18","1.68","90.25","1.81","86.81","1.39","G165"
"74.05","0.720","65.510","0.000","83.89","0.00",NA,NA,"87.11","0.35","88.97","0.36","G166"
"57.83","0.770","61.340","0.130","78.86","1.89",NA,NA,"78.86","0.95","81.97","0.66","G167"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82.51","1.65","G168"
"76.95","0.080","60.030","0.000","87.72","1.75",NA,NA,NA,NA,"85.03","1.36","G169"
"80.41","0.000","60.420","0.080","87.41","2.10",NA,NA,"79.87","0.00","87.11","0.00","G17"
"74.02","0.000","68.570","0.000",NA,NA,"78.62","0.31","84.18","0.67","89.29","0.36","G170"
" 0.00","0.000"," 0.000","0.000",NA,NA," 0.00","0.00"," 0.00","0.00"," 0.00","0.00","G171"
"81.33","0.440","79.180","0.450",NA,NA,"85.91","0.69","89.29","0.00","89.93","1.80","G172"
"76.68","0.000","65.290","0.480",NA,NA,"86.81","1.00","84.75","0.68","88.03","2.11","G173"
"81.94","0.000","78.000","0.000",NA,NA,"80.39","0.00","91.24","0.00","92.25","0.37","G174"
"82.97","0.000","75.950","0.090","91.58","1.10",NA,NA,NA,NA,NA,NA,"G175"
"48.95","0.000","25.510","0.290",NA,NA,"74.63","1.49","74.85","1.20","77.40","1.55","G176"
NA,NA,NA,NA,NA,NA,"79.37","0.00","81.97","0.00",NA,NA,"G177"
"61.50","0.320","52.490","0.190","86.21","0.69","75.08","1.20","82.51","0.99","79.37","0.63","G178"
"81.29","0.000","70.880","0.400","85.62","0.68","75.76","0.61","84.46","0.68","77.88","0.31","G179"
